college,branch,YEAR,GOPEN,LOPEN,GOBC,LOBC,GSC,LSC,GST,LST,GVJDT,LVJDT,GNTB,LNTB,GNTC,LNTC,GNTD,LNTD,P,D
"Government College of Engineering, Karad",Electrical Engineering[First Shift],2018,91.39,90.03,89.63,90.73,88.91,87.27,78.12,0,0,0,0,0,0,0,0,0,79.27,83.43
"Government College of Engineering, Karad",Electronics and Telecommunication Engg[First Shift],2015,90.4,91.37,88.2,88.71,86.71,0,71.59,0,83.13,0,0,0,88.41,0,0,0,0,85.35
"Government College of Engineering, Karad",Electronics and Telecommunication Engg[First Shift],2016,91.06,92.41,89.06,0,87.81,88.29,71.94,72.65,0,0,0,0,89.31,0,0,0,84.47,88.06
"Government College of Engineering, Karad",Electronics and Telecommunication Engg[First Shift],2017,90.94,90.53,87.41,89.12,80.24,0,63.35,0,0,0,0,0,0,0,0,0,78.5,0
"Government College of Engineering, Karad",Electronics and Telecommunication Engg[First Shift],2018,90.06,92.13,87.41,88.88,82.71,88.76,0,75.94,0,0,87.71,0,79.94,0,0,0,0,0
"Government College of Engineering, Karad",Mechanical Engineering[First Shift],2015,88.12,88.94,90.31,0,86.47,77.41,76.79,0,0,0,88.47,0,0,0,0,0,81.94,84.76
"Government College of Engineering, Karad",Mechanical Engineering[First Shift],2016,91.24,90.19,90.69,90,89,0,81.53,0,0,0,0,83.18,0,0,89.13,0,85.18,0
"Government College of Engineering, Karad",Mechanical Engineering[First Shift],2017,91.82,92.35,90.35,87.47,90.29,82.53,82,0,0,0,0,0,0,0,0,0,84.18,86.71
"Government College of Engineering, Karad",Mechanical Engineering[First Shift],2018,93.31,90.47,92.5,88.59,88.18,0,78.65,0,0,0,0,0,0,0,0,0,0,82.7
"Walchand College of Engineering, Sangli",Civil Engineering[First Shift],2015,91.25,91.39,89.88,0,88.91,84.73,84.3,0,85.33,0,0,0,0,85.45,0,0,81.09,88.8
"Walchand College of Engineering, Sangli",Civil Engineering[First Shift],2016,92.13,92.79,91.58,91.58,86.91,0,82.48,0,0,0,0,0,91.76,0,0,0,0,87.09
"Walchand College of Engineering, Sangli",Civil Engineering[First Shift],2017,92.94,93.56,92.18,0,91.94,90.42,0,81.49,86,0,0,0,89.82,0,0,0,88.84,89.86
"Walchand College of Engineering, Sangli",Civil Engineering[First Shift],2018,93.2,93.58,92.5,92.81,88.61,89.27,86.11,0,0,0,0,0,91.64,0,0,0,85.64,85
"Walchand College of Engineering, Sangli",Computer Science and Engineering[First Shift],2015,90.75,91.19,87.94,90.44,85.71,85.94,0,64.71,82.88,0,0,0,85,0,0,0,73.76,83.69
"Walchand College of Engineering, Sangli",Computer Science and Engineering[First Shift],2016,90.56,90.75,88,88.25,85.13,85.88,76.94,0,84.44,0,0,0,88.38,0,0,0,0,86.13
"Walchand College of Engineering, Sangli",Computer Science and Engineering[First Shift],2017,91.06,91.56,89.71,90.35,82.94,85.88,65.44,0,0,80.94,0,0,0,89.5,0,0,0,0
"Walchand College of Engineering, Sangli",Computer Science and Engineering[First Shift],2018,90.5,91.94,88.8,90.12,87.75,89.06,0,83.94,0,0,86.94,0,0,0,83,0,0,0
"Walchand College of Engineering, Sangli",Information Technology[First Shift],2015,87.35,87.22,85.06,85.31,80,87.12,65.31,0,80.06,0,0,0,84.44,0,0,0,71.12,0
"Walchand College of Engineering, Sangli",Information Technology[First Shift],2016,87.75,89.25,87.22,87.36,83,83.63,75.63,0,0,78.82,0,0,0,0,85,0,0,79.82
"Walchand College of Engineering, Sangli",Information Technology[First Shift],2017,89.94,90.69,89.13,89.69,81.75,0,0,0,0,0,83.63,0,0,0,0,74,66.69,88.31
"Walchand College of Engineering, Sangli",Information Technology[First Shift],2018,89.94,93,89.06,0,84.41,86.44,0,53.59,0,0,0,0,87.31,0,0,0,75.5,85.41
"Walchand College of Engineering, Sangli",Electrical Engineering[First Shift],2015,89.82,90.97,88.88,87.94,87.27,87.76,78.91,0,0,0,0,0,86.32,0,0,0,81.15,88.12
"Walchand College of Engineering, Sangli",Electrical Engineering[First Shift],2016,91.63,93.94,90.18,90.79,87.82,0,0,80.85,86.06,0,0,0,0,0,87.88,0,86.36,89.03
"Walchand College of Engineering, Sangli",Electrical Engineering[First Shift],2017,92.18,93.09,92.06,92,90.61,0,81.15,0,88.63,0,0,0,0,91.09,0,0,0,0
"Walchand College of Engineering, Sangli",Electrical Engineering[First Shift],2018,93.33,93.76,93.03,92.97,91.39,0,86.12,0,0,0,0,0,92.79,0,0,0,65.88,87.45
"Walchand College of Engineering, Sangli",Mechanical Engineering[First Shift],2015,92.12,89.65,90.69,0,87.94,0,78.71,0,0,0,0,78.81,0,88.65,0,0,0,0
"Walchand College of Engineering, Sangli",Mechanical Engineering[First Shift],2016,92.06,91.82,91.75,0,90.29,86.94,85.35,0,0,0,0,0,89.82,0,0,0,86,89.53
"Walchand College of Engineering, Sangli",Mechanical Engineering[First Shift],2017,92.81,92.29,92.25,87.88,90.82,0,85.24,0,87.24,0,0,0,0,0,0,0,88.29,87.81
"Walchand College of Engineering, Sangli",Mechanical Engineering[First Shift],2018,94.38,92,93.75,0,91.69,0,83.06,0,0,0,0,0,0,0,0,69.59,85.12,89.81
"Walchand College of Engineering, Sangli",Electronics Engineering[First Shift],2018,90.5,91.94,88.8,90.12,87.75,89.06,0,83.94,0,0,86.94,0,0,0,83,0,0,0
"Walchand College of Engineering, Sangli",Electronics Engineering[First Shift],2017,89.94,90.69,89.13,89.69,81.75,0,0,0,0,0,83.63,0,0,0,0,74,66.69,88.31
"Walchand College of Engineering, Sangli",Electronics Engineering[First Shift],2016,91.63,93.94,90.18,90.79,87.82,0,0,80.85,86.06,0,0,0,0,0,87.88,0,86.36,89.03
"Walchand College of Engineering, Sangli",Electronics Engineering[First Shift],2015,92.12,89.65,90.69,0,87.94,0,78.71,0,0,0,0,78.81,0,88.65,0,0,0,0
