ALGMN,Diploma,SSC,Gender
245,92.38,89.8,Male
246,92.38,85.4,Female
247,92.35,92.2,Female
248,92.35,90.6,Female
249,92.35,89.6,Male
250,92.35,84.2,Female
251,92.33,93,Male
252,92.31,90.8,Male
253,92.31,90.6,Female
254,92.3,96.4,Female
255,92.3,92.2,Female
256,92.29,97.2,Female
257,92.29,83.4,Female
258,92.26,85.33,Male
259,92.25,96,Male
260,92.25,94.6,Female
261,92.25,94.4,Male
262,92.25,93.6,Female
263,92.25,93.4,Male
264,92.25,93.2,Male
265,92.25,91.8,Female
266,92.24,93.4,Female
267,92.24,93.2,Female
268,92.19,93.6,Female
269,92.19,93.4,Female
270,92.19,93,Female
271,92.19,92.2,Female
272,92.19,88.8,Female
273,92.19,83,Female
274,92.18,95.2,Female
275,92.18,94.2,Female
276,92.18,91.6,Male
277,92.18,89.6,Female
278,92.13,94.6,Male
279,92.13,94.6,Male
280,92.13,94.2,Female
281,92.13,93.2,Female
282,92.13,89.8,Female
283,92.13,89.2,Female
284,92.13,89.2,Female
285,92.13,87.2,Male
286,92.1,95,Female
287,92.07,95,Male
288,92.07,92.91,Male
289,92.06,95.4,Female
290,92.06,95.2,Female
291,92.06,92.2,Female
292,92.06,91.2,Male
293,92.06,90.6,Male
294,92.06,90.2,Male
295,92.06,88.4,Male
296,92.06,75.8,Male
297,92,96.4,Female
298,92,95.2,Male
299,92,93.6,Male
300,92,91.6,Male
301,92,90,Female
302,92,89.2,Female
303,92,88,Male
304,92,87,Male
305,92,85.8,Female
306,92,84.4,Male
307,91.94,97,Female
308,91.94,95.2,Male
309,91.94,94.4,Male
310,91.94,93.4,Male
311,91.94,92.4,Male
312,91.94,91.8,Male
313,91.94,90.2,Male
314,91.94,89.8,Female
315,91.94,88.4,Male
316,91.94,82.8,Female
317,91.93,94.6,Male
318,91.92,92.2,Male
319,91.88,96,Male
320,91.88,95.8,Male
321,91.88,93.2,Female
322,91.88,92.2,Female
323,91.88,90,Female
324,91.88,89.2,Male
325,91.88,88.4,Female
326,91.88,88.2,Female
327,91.88,78.2,Male
328,91.87,95.2,Male
329,91.87,92.8,Male
330,91.86,69.27,Male
331,91.84,87.8,Female
332,91.82,94.2,Female
333,91.82,90.4,Female
334,91.82,86.8,Female
335,91.81,95,Female
336,91.81,93.6,Male
337,91.81,92.4,Female
338,91.81,91.4,Male
339,91.81,91,Female
340,91.81,91,Female
341,91.81,89.8,Male
342,91.81,78.73,Male
343,91.8,94.8,Female
344,91.8,91.6,Female
345,91.78,94.8,Male
346,91.77,91.8,Female
347,91.77,86.2,Female
348,91.76,91.2,Male
349,91.76,88.6,Female
350,91.75,95.2,Female
351,91.75,94.8,Female
352,91.75,91.2,Male
353,91.75,88,Male
354,91.75,87.6,Male
355,91.75,87.6,Female
356,91.75,82.8,Female
357,91.75,81.6,Male
358,91.74,81.4,Female
359,91.73,95.8,Male
360,91.71,93.4,Male
361,91.71,90.2,Male
362,91.7,94.4,Male
363,91.7,91.6,Female
364,91.7,88,Female
365,91.69,95.2,Female
366,91.69,92.8,Male
367,91.69,91.2,Female
368,91.69,90.73,Male
369,91.67,93.4,Female
370,91.67,84.4,Female
371,91.67,62.83,Male
372,91.66,95.6,Female
373,91.66,92.6,Female
374,91.66,91.4,Female
375,91.65,97,Female
376,91.65,94.6,Female
377,91.65,86.8,Male
378,91.64,94.2,Female
379,91.63,94,Female
380,91.63,92.8,Female
381,91.63,92.2,Male
382,91.63,86,Male
383,91.62,78.36,Male
384,91.61,93.4,Male
385,91.59,96.4,Female
386,91.59,92.8,Male
387,91.59,91.6,Female
388,91.59,89.6,Female
389,91.59,85.8,Female
390,91.58,95.6,Female
391,91.58,91.4,Female
392,91.58,90.8,Female
393,91.57,95,Female
394,91.56,95.2,Female
395,91.56,88.2,Female
396,91.54,94.8,Female
397,91.53,94.4,Male
398,91.53,93.4,Female
