SLGMN,Diploma
1,97.80
2,97.29
3,96.55
4,96.54
5,96.15
6,95.75
7,95.69
8,95.65
9,95.61
10,95.60
11,95.60
12,95.60
13,95.60
14,95.56
15,95.56
16,95.47
17,95.46
18,95.38
19,95.35
20,95.29
21,95.13
22,95.13
23,95.00
24,94.94
25,94.94
